runnable_processes,blocked_processes,swap_used,free_memory,buffer_memory,page_cache,swap_in,swap_out,blocks_in,blocks_out,interrupts,context_switches,user_cpu,system_cpu,idle_cpu,io_wait,steal_time,guest_time,Principale1,Principale2,Principale3,Principale4,Principale5,Principale6,Principale7,Principale8,Principale9,Principale10,Principale11,Principale12,Principale13,Principale14,Principale15,Principale16
1,0,338672,1149104,200108,376168,0,0,0,2,419,239,24,1,75,0,0,0,"-1,06949149","0,2011726901","1,1516095126","-1,058910514","-0,128800687","0,3814279161","0,0848424305","0,2771646915","0,1838124857","-0,256159451","-0,415555451","-0,045106166","0,0645348907","-0,17358609","0,0049817153","0,0004146343"
1,0,338672,2784760,200116,376168,0,0,0,14,463,285,24,1,75,0,0,0,"-0,891621041","0,2925328295","0,9451066383","0,0756814094","0,9405744919","-1,265891972","0,3934463558","0,4551857199","-0,0521979","-0,13026691","-0,330944507","-0,014740562","0,207999302","-0,245152005","-0,117540179","0,130721095"
1,0,338672,2103076,200116,376168,0,0,0,0,414,247,24,1,75,0,0,0,"-1,036247021","0,2163197823","0,9999507322","-0,453410597","0,5209020621","-0,587961684","0,3345387234","0,3695341183","0,1073645544","-0,223894216","-0,425611387","-0,039317233","0,1447643663","-0,194365804","-0,037381187","0,0684947457"
1,0,338672,1345556,200116,376168,0,0,0,2,420,236,24,1,75,0,0,0,"-1,064910287","0,2000083587","1,1212865263","-0,936763388","0,006601884","0,1810468502","0,1373732653","0,2958633437","0,1620945222","-0,245181994","-0,408933242","-0,04826554","0,0686160384","-0,170743801","-0,000401958","0,011857877"
1,0,338672,579476,200124,376168,0,0,0,6,434,248,24,1,75,0,0,0,"-1,055935903","0,2169382274","1,25520626","-1,392216334","-0,530704273","0,9649723863","-0,096213941","0,2272465974","0,2080698143","-0,260663667","-0,389232284","-0,038135499","0,0330560163","-0,179576028","0,0157570521","-0,033487738"
1,0,338672,2286116,200124,376168,0,0,0,0,439,263,24,1,75,0,0,0,"-0,975915338","0,2613915001","0,9885641176","-0,297840543","0,6251319407","-0,767176094","0,3313713792","0,3925092821","0,0347146178","-0,179636355","-0,375103966","-0,036565724","0,1732528855","-0,210459618","-0,058084294","0,0873137684"
1,0,338672,1521976,200124,376168,0,0,0,2,441,252,24,2,75,0,0,0,"-0,45528871","0,2738269461","1,5262230723","-0,411698802","-0,22882916","-0,133188379","0,5931806996","-1,59891377","0,4831588314","-0,096279972","-0,445368824","-0,164944723","-0,084359683","-0,029920679","-0,010249194","0,1116223683"
1,0,338672,760232,200132,376168,0,0,0,6,645,253,24,1,75,0,0,0,"-0,73591919","0,4242627245","1,3456700903","-1,078553356","-0,508192209","0,8114397083","-0,359856672","0,2664160494","-0,324114","0,08708862","0,1166444125","-0,129490231","-0,090352628","-0,108728368","-0,001263798","-0,035719236"
1,0,338672,2469788,200132,376168,0,0,0,0,729,356,24,2,74,0,0,0,"0,2804473617","0,7733843379","1,5308514503","0,4913680515","0,2743325511","-1,072984133","0,3075725106","-1,463089126","-0,284572427","0,2946827631","0,127388375","-0,084101715","-0,073501334","-0,131321453","-0,008635201","-0,106292502"
1,0,338672,1705628,200132,376168,0,0,0,2,667,231,24,2,75,0,0,0,"-0,142136985","0,4630317452","1,6198011476","-0,109561468","-0,196454963","-0,293329524","0,3323072157","-1,562395501","-0,095135449","0,2826097114","0,1154251818","-0,286067745","-0,274901489","0,0851294706","-0,007009696","0,0944145681"
1,0,338672,940072,200140,376168,0,0,0,6,676,241,24,1,75,0,0,0,"-0,698047504","0,4401728793","1,3329672493","-0,948729487","-0,392939894","0,6301282782","-0,346946565","0,2849245046","-0,42093559","0,148185959","0,2018214982","-0,154177769","-0,127561562","-0,081023696","0,000397068","-0,032629791"
